millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
6344,0,-0.05,2.68,1.23,0.06,0.13,0.00,-0.12,2.05,1.30,0.00
6418,0,-0.05,2.68,1.23,0.13,0.06,0.00,-0.12,2.05,1.30,0.00
6450,0,-0.05,2.68,1.23,0.31,0.06,0.19,-0.12,2.05,1.30,0.00
6542,0,-0.05,2.68,1.23,0.44,0.00,0.00,-0.12,2.05,1.30,0.00
6587,0,-0.05,2.68,1.23,-0.31,0.19,0.06,-0.12,2.05,1.30,0.00
6619,0,-0.05,2.68,1.23,-0.25,-0.06,0.00,0.09,2.05,1.30,-0.00
6649,0,-0.05,2.68,1.23,-0.19,0.06,0.13,-0.12,2.05,1.30,-0.00
6687,0,-0.05,2.68,1.23,-0.56,0.00,0.13,0.09,2.05,1.30,-0.00
6761,0,-0.03,2.68,1.23,-0.56,0.13,0.06,0.11,2.05,1.30,-0.00
6802,0,-0.02,2.68,1.23,-0.62,-0.13,0.00,-0.10,2.05,1.30,-0.00
6847,0,0.01,2.68,1.23,-0.69,0.06,0.00,-0.07,2.05,1.30,-0.00
6876,0,0.02,2.68,1.23,-0.69,0.06,0.06,0.15,2.05,1.30,-0.00
6907,0,0.03,2.68,1.23,-0.44,0.06,0.06,0.17,2.05,1.30,-0.00
6994,0,0.03,2.68,1.23,-0.37,0.06,0.06,-0.04,2.05,1.30,-0.00
7036,0,0.03,2.68,1.23,0.06,-0.06,-0.06,-0.04,2.05,1.30,-0.00
7081,0,0.03,2.68,1.23,0.25,-0.19,0.13,0.17,2.05,1.30,-0.00
7109,0,0.03,2.68,1.23,0.13,0.13,0.00,-0.04,2.05,1.30,0.00
7144,0,0.03,2.68,1.23,0.25,-0.06,0.00,-0.04,2.05,1.30,0.00
7211,0,0.03,2.68,1.23,0.06,0.06,0.06,-0.04,2.05,1.30,0.00
7340,0,0.03,2.68,1.23,0.25,0.06,0.00,0.17,2.05,1.30,0.00
7372,0,0.03,2.68,1.23,0.25,-0.06,-0.06,0.17,2.05,1.30,-0.00
7427,0,0.02,2.68,1.22,-0.31,0.13,0.19,0.17,2.05,1.30,-0.00
7456,0,0.01,2.68,1.22,-0.19,0.06,0.00,-0.06,2.05,1.29,-0.00
7498,0,-0.01,2.68,1.22,-0.37,-0.06,0.00,-0.07,2.05,1.29,-0.00
7574,0,-0.04,2.68,1.22,-0.19,0.06,0.00,0.11,2.05,1.29,-0.00
7610,0,-0.06,2.68,1.22,-0.25,0.06,0.00,-0.12,2.05,1.29,-0.00
7686,0,-0.08,2.68,1.22,-0.19,0.13,0.00,0.06,2.05,1.29,-0.00
7727,0,-0.10,2.68,1.22,0.06,-0.13,-0.06,0.05,2.05,1.29,-0.00
7798,0,-0.13,2.68,1.22,0.06,-0.06,0.13,0.02,2.05,1.29,-0.00
7836,0,-0.13,2.68,1.22,0.31,-0.13,0.00,-0.20,2.05,1.29,0.00
7881,0,-0.15,2.68,1.22,0.25,0.00,0.00,-0.01,2.05,1.29,0.00
7912,0,-0.16,2.68,1.22,0.25,0.06,0.06,-0.22,2.05,1.29,0.00
7951,0,-0.17,2.68,1.22,0.37,0.06,0.13,-0.03,2.05,1.29,0.00
